"Name","Campaign Id","Phone","DID","Number of Messages","Created at","Updated At","Type","Send to inContact","Point Of Contact","Send to Dialog Flow","Ignore same day missed message","Messages delivery time relative to previous message"
"New Plivo Juan2 - clone 03-29-2021 3:00 pm","873753","twilio-7626004648","","0","Tue Mar 29 2022","Tue Mar 29 2022","default","false","","","false","false"
"New Plivo Juan2","576368","plivo-8336211367, plivo-8774832137","","0","Wed Mar 09 2022","Fri Mar 25 2022","default","false","","","false","false"
"Plivo Env Test (please don't use it)","280952","plivo-8084312089, plivo-6234328257","7864845100","2","Fri Mar 04 2022","Thu Mar 10 2022","default","true","37486008-ba93-4218-8090-2dc0776d86d9","","false","false"
"Copy of Holly Clone Msg","692268","twilio-8884201519","9545551212","2","Wed Feb 09 2022","Wed Feb 09 2022","default","true","ddc99f42-f638-4c1e-b342-e193a2554340","","false","false"
"Holly Clone Msg","621527","twilio-8559335907","9545551212","2","Wed Feb 09 2022","Wed Feb 09 2022","default","true","ddc99f42-f638-4c1e-b342-e193a2554340","","false","false"
"Israel's - Clone","616730","twilio-8449095167, twilio-8449125025, twilio-8623566049, twilio-8456904105","7864845100","3","Wed Feb 09 2022","Wed Mar 02 2022","default","false","","","false","false"
"Israel's-e","266880","","7864845100","3","Wed Feb 09 2022","Wed Feb 09 2022","default","false","","","false","false"
"Israel's-e","208144","","7864845100","1","Tue Feb 08 2022","Tue Feb 08 2022","default","false","","","false","false"
"Israel's","784519","plivo-6266994855, plivo-8336141835, plivo-8336572645, twilio-8447701771, twilio-8559394900, twilio-8339643355, twilio-8559635535, twilio-8333530013","7864845100","3","Wed Feb 02 2022","Fri Apr 01 2022","default","true","37486008-ba93-4218-8090-2dc0776d86d9","","false","false"
"ChatBot Test Oscar (Dont delete)","186533","plivo-8084312090, twilio-8556181415, twilio-8443385262","7864993560","6","Fri Aug 27 2021","Tue Feb 15 2022","default","true","37486008-ba93-4218-8090-2dc0776d86d9","","false","false"